Precursor Density Summation,Precursor Count,Lowest Density,Highest Density,Mean,Successor Density

0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1.0,16.0,0.0625,0.0625,0.0625,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

15.0,120.0,0.125,0.125,0.125,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

56.25,300.0,0.1875,0.1875,0.1875,0.0
36.0,192.0,0.1875,0.1875,0.1875,0.25
12.0,64.0,0.1875,0.1875,0.1875,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.75,4.0,0.1875,0.1875,0.1875,1.0

87.75,351.0,0.25,0.25,0.25,0.0
170.0,680.0,0.25,0.25,0.25,0.25
137.0,548.0,0.25,0.25,0.25,0.5
41.0,164.0,0.25,0.25,0.25,0.75
19.25,77.0,0.25,0.25,0.25,1.0

101.25,324.0,0.3125,0.3125,0.3125,0.0
375.0,1200.0,0.3125,0.3125,0.3125,0.25
450.0,1440.0,0.3125,0.3125,0.3125,0.5
335.0,1072.0,0.3125,0.3125,0.3125,0.75
103.75,332.0,0.3125,0.3125,0.3125,1.0

157.5,420.0,0.375,0.375,0.375,0.0
627.0,1672.0,0.375,0.375,0.375,0.25
1263.75,3370.0,0.375,0.375,0.375,0.5
799.5,2132.0,0.375,0.375,0.375,0.75
155.25,414.0,0.375,0.375,0.375,1.0

320.25,732.0,0.4375,0.4375,0.4375,0.0
1634.5,3736.0,0.4375,0.4375,0.4375,0.25
2280.25,5212.0,0.4375,0.4375,0.4375,0.5
700.0,1600.0,0.4375,0.4375,0.4375,0.75
70.0,160.0,0.4375,0.4375,0.4375,1.0

1232.0,2464.0,0.5,0.5,0.5,0.0
3138.0,6276.0,0.5,0.5,0.5,0.25
1894.0,3788.0,0.5,0.5,0.5,0.5
162.0,324.0,0.5,0.5,0.5,0.75
9.0,18.0,0.5,0.5,0.5,1.0

3015.0,5360.0,0.5625,0.5625,0.5625,0.0
2871.0,5104.0,0.5625,0.5625,0.5625,0.25
549.0,976.0,0.5625,0.5625,0.5625,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

3855.0,6168.0,0.625,0.625,0.625,0.0
1110.0,1776.0,0.625,0.625,0.625,0.25
40.0,64.0,0.625,0.625,0.625,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

2849.0,4144.0,0.6875,0.6875,0.6875,0.0
154.0,224.0,0.6875,0.6875,0.6875,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1365.0,1820.0,0.75,0.75,0.75,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

455.0,560.0,0.8125,0.8125,0.8125,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

105.0,120.0,0.875,0.875,0.875,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

15.0,16.0,0.9375,0.9375,0.9375,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

13631.0,22917.0,0.0,1.0,0.5947986211109657,0.0
10115.5,20860.0,0.1875,0.6875,0.48492329817833174,0.25
6626.0,15462.0,0.1875,0.625,0.4285344716078127,0.5
2037.5,5292.0,0.25,0.5,0.3850151171579743,0.75
358.0,1005.0,0.1875,0.5,0.3562189054726368,1.0
