Precursor Density Summation,Precursor Count,Lowest Density,Highest Density,Mean,Successor Density

0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

0.9375,15.0,0.0625,0.0625,0.0625,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

12.125,97.0,0.125,0.125,0.125,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

41.625,222.0,0.1875,0.1875,0.1875,0.0
20.0625,107.0,0.1875,0.1875,0.1875,0.25
11.25,60.0,0.1875,0.1875,0.1875,0.5
0.0,0.0,1.0,0.0,0.0,0.75
1.3125,7.0,0.1875,0.1875,0.1875,1.0

52.5,210.0,0.25,0.25,0.25,0.0
105.75,423.0,0.25,0.25,0.25,0.25
82.25,329.0,0.25,0.25,0.25,0.5
24.0,96.0,0.25,0.25,0.25,0.75
11.75,47.0,0.25,0.25,0.25,1.0

46.875,150.0,0.3125,0.3125,0.3125,0.0
185.625,594.0,0.3125,0.3125,0.3125,0.25
227.8125,729.0,0.3125,0.3125,0.3125,0.5
172.1875,551.0,0.3125,0.3125,0.3125,0.75
59.0625,189.0,0.3125,0.3125,0.3125,1.0

63.0,168.0,0.375,0.375,0.375,0.0
266.625,711.0,0.375,0.375,0.375,0.25
502.5,1340.0,0.375,0.375,0.375,0.5
315.375,841.0,0.375,0.375,0.375,0.75
69.375,185.0,0.375,0.375,0.375,1.0

98.0,224.0,0.4375,0.4375,0.4375,0.0
485.1875,1109.0,0.4375,0.4375,0.4375,0.25
688.1875,1573.0,0.4375,0.4375,0.4375,0.5
224.0,512.0,0.4375,0.4375,0.4375,0.75
21.4375,49.0,0.4375,0.4375,0.4375,1.0

243.5,487.0,0.5,0.5,0.5,0.0
629.0,1258.0,0.5,0.5,0.5,0.25
384.0,768.0,0.5,0.5,0.5,0.5
27.5,55.0,0.5,0.5,0.5,0.75
3.0,6.0,0.5,0.5,0.5,1.0

936.0,1664.0,0.5625,0.5625,0.5625,0.0
857.8125,1525.0,0.5625,0.5625,0.5625,0.25
156.375,278.0,0.5625,0.5625,0.5625,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1555.0,2488.0,0.625,0.625,0.625,0.0
459.375,735.0,0.625,0.625,0.625,0.25
13.75,22.0,0.625,0.625,0.625,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1449.9375,2109.0,0.6875,0.6875,0.6875,0.0
71.5,104.0,0.6875,0.6875,0.6875,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

828.75,1105.0,0.75,0.75,0.75,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

321.75,396.0,0.8125,0.8125,0.8125,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

84.875,97.0,0.875,0.875,0.875,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

14.0625,15.0,0.9375,0.9375,0.9375,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.25
0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,1.0,0.0,0.0,0.75
0.0,0.0,1.0,0.0,0.0,1.0

5749.9375,9449.0,0.0,1.0,0.6085233887183829,0.0
3080.9375,6566.0,0.1875,0.6875,0.469225936643314,0.25
2066.125,5099.0,0.1875,0.625,0.40520200039223375,0.5
763.0625,2055.0,0.25,0.5,0.3713199513381995,0.75
165.9375,483.0,0.1875,0.5,0.343555900621118,1.0
