Precursor Density Summation,Precursor Count,Lowest Density,Highest Density,Mean,Successor Density

0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0

0.8888888888888891,8.0,0.1111111111111111,0.1111111111111111,0.11111111111111113,0.0
0.0,0.0,1.0,0.0,0.0,1.0

5.333333333333335,24.0,0.2222222222222222,0.2222222222222222,0.2222222222222223,0.0
0.0,0.0,1.0,0.0,0.0,1.0

0.0,0.0,1.0,0.0,0.0,0.0
13.33333333333334,40.0,0.3333333333333333,0.3333333333333333,0.3333333333333335,1.0

8.000000000000002,18.0,0.4444444444444444,0.4444444444444444,0.44444444444444453,0.0
8.444444444444446,19.0,0.4444444444444444,0.4444444444444444,0.44444444444444453,1.0

20.555555555555564,37.0,0.5555555555555556,0.5555555555555556,0.5555555555555558,0.0
0.0,0.0,1.0,0.0,0.0,1.0

26.66666666666668,40.0,0.6666666666666666,0.6666666666666666,0.666666666666667,0.0
0.0,0.0,1.0,0.0,0.0,1.0

18.666666666666675,24.0,0.7777777777777778,0.7777777777777778,0.7777777777777781,0.0
0.0,0.0,1.0,0.0,0.0,1.0

7.1111111111111125,8.0,0.8888888888888888,0.8888888888888888,0.8888888888888891,0.0
0.0,0.0,1.0,0.0,0.0,1.0

1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0

88.22222222222226,161.0,0.0,1.0,0.5479641131815047,0.0
21.777777777777786,59.0,0.3333333333333333,0.4444444444444444,0.369114877589454,1.0
