Precursor Density Summation,Precursor Count,Lowest Density,Highest Density,Mean,Successor Density
,,,,,
0,1,0,0,0,0
0,0,1,0,0,0.04
0,0,1,0,0,0.08
0,0,1,0,0,0.12
0,0,1,0,0,0.16
0,0,1,0,0,0.2
0,0,1,0,0,0.24
0,0,1,0,0,0.28
0,0,1,0,0,0.32
0,0,1,0,0,0.36
0,0,1,0,0,0.4
0,0,1,0,0,0.44
0,0,1,0,0,0.48
0,0,1,0,0,0.52
0,0,1,0,0,0.56
0,0,1,0,0,0.6
0,0,1,0,0,0.64
0,0,1,0,0,0.68
0,0,1,0,0,0.72
0,0,1,0,0,0.76
0,0,1,0,0,0.8
0,0,1,0,0,0.84
0,0,1,0,0,0.88
0,0,1,0,0,0.92
0,0,1,0,0,0.96
0,0,1,0,0,1
,,,,,
1,49,0.020408163,0.020408163,0.020408163,0
0,0,1,0,0,0.04
0,0,1,0,0,0.08
0,0,1,0,0,0.12
0,0,1,0,0,0.16
0,0,1,0,0,0.2
0,0,1,0,0,0.24
0,0,1,0,0,0.28
0,0,1,0,0,0.32
0,0,1,0,0,0.36
0,0,1,0,0,0.4
0,0,1,0,0,0.44
0,0,1,0,0,0.48
0,0,1,0,0,0.52
0,0,1,0,0,0.56
0,0,1,0,0,0.6
0,0,1,0,0,0.64
0,0,1,0,0,0.68
0,0,1,0,0,0.72
0,0,1,0,0,0.76
0,0,1,0,0,0.8
0,0,1,0,0,0.84
0,0,1,0,0,0.88
0,0,1,0,0,0.92
0,0,1,0,0,0.96
0,0,1,0,0,1
,,,,,
48,1176,0.040816327,0.040816327,0.040816327,0
0,0,1,0,0,0.04
0,0,1,0,0,0.08
0,0,1,0,0,0.12
0,0,1,0,0,0.16
0,0,1,0,0,0.2
0,0,1,0,0,0.24
0,0,1,0,0,0.28
0,0,1,0,0,0.32
0,0,1,0,0,0.36
0,0,1,0,0,0.4
0,0,1,0,0,0.44
0,0,1,0,0,0.48
0,0,1,0,0,0.52
0,0,1,0,0,0.56
0,0,1,0,0,0.6
0,0,1,0,0,0.64
0,0,1,0,0,0.68
0,0,1,0,0,0.72
0,0,1,0,0,0.76
0,0,1,0,0,0.8
0,0,1,0,0,0.84
0,0,1,0,0,0.88
0,0,1,0,0,0.92
0,0,1,0,0,0.96
0,0,1,0,0,1
,,,,,
1044.489796,17060,0.06122449,0.06122449,0.06122449,0
48.12244898,786,0.06122449,0.06122449,0.06122449,0.04
29.63265306,484,0.06122449,0.06122449,0.06122449,0.08
1.836734694,30,0.06122449,0.06122449,0.06122449,0.12
3.918367347,64,0.06122449,0.06122449,0.06122449,0.16
0,0,1,0,0,0.2
0,0,1,0,0,0.24
0,0,1,0,0,0.28
0,0,1,0,0,0.32
0,0,1,0,0,0.36
0,0,1,0,0,0.4
0,0,1,0,0,0.44
0,0,1,0,0,0.48
0,0,1,0,0,0.52
0,0,1,0,0,0.56
0,0,1,0,0,0.6
0,0,1,0,0,0.64
0,0,1,0,0,0.68
0,0,1,0,0,0.72
0,0,1,0,0,0.76
0,0,1,0,0,0.8
0,0,1,0,0,0.84
0,0,1,0,0,0.88
0,0,1,0,0,0.92
0,0,1,0,0,0.96
0,0,1,0,0,1
,,,,,
13271.91837,162581,0.081632653,0.081632653,0.081632653,0
2059.755102,25232,0.081632653,0.081632653,0.081632653,0.04
1377.469388,16874,0.081632653,0.081632653,0.081632653,0.08
285.7142857,3500,0.081632653,0.081632653,0.081632653,0.12
237.4693878,2909,0.081632653,0.081632653,0.081632653,0.16
35.26530612,432,0.081632653,0.081632653,0.081632653,0.2
25.46938776,312,0.081632653,0.081632653,0.081632653,0.24
2.93877551,36,0.081632653,0.081632653,0.081632653,0.28
0,0,1,0,0,0.32
0,0,1,0,0,0.36
0,0,1,0,0,0.4
0,0,1,0,0,0.44
0,0,1,0,0,0.48
0,0,1,0,0,0.52
0,0,1,0,0,0.56
0,0,1,0,0,0.6
0,0,1,0,0,0.64
0,0,1,0,0,0.68
0,0,1,0,0,0.72
0,0,1,0,0,0.76
0,0,1,0,0,0.8
0,0,1,0,0,0.84
0,0,1,0,0,0.88
0,0,1,0,0,0.92
0,0,1,0,0,0.96
0,0,1,0,0,1
,,,,,
107066.6327,1049253,0.102040816,0.102040816,0.102040816,0
38714.08163,379398,0.102040816,0.102040816,0.102040816,0.04
28447.34694,278784,0.102040816,0.102040816,0.102040816,0.08
9837.346939,96406,0.102040816,0.102040816,0.102040816,0.12
6820.612245,66842,0.102040816,0.102040816,0.102040816,0.16
2132.44898,20898,0.102040816,0.102040816,0.102040816,0.2
1209.795918,11856,0.102040816,0.102040816,0.102040816,0.24
286.5306122,2808,0.102040816,0.102040816,0.102040816,0.28
59.69387755,585,0.102040816,0.102040816,0.102040816,0.32
5.510204082,54,0.102040816,0.102040816,0.102040816,0.36
0,0,1,0,0,0.4
0,0,1,0,0,0.44
0,0,1,0,0,0.48
0,0,1,0,0,0.52
0,0,1,0,0,0.56
0,0,1,0,0,0.6
0,0,1,0,0,0.64
0,0,1,0,0,0.68
0,0,1,0,0,0.72
0,0,1,0,0,0.76
0,0,1,0,0,0.8
0,0,1,0,0,0.84
0,0,1,0,0,0.88
0,0,1,0,0,0.92
0,0,1,0,0,0.96
0,0,1,0,0,1
,,,,,
566721.3061,4628224,0.12244898,0.12244898,0.12244898,0
404415.1837,3302724,0.12244898,0.12244898,0.12244898,0.04
344622.1224,2814414,0.12244898,0.12244898,0.12244898,0.08
175589.8775,1433984,0.12244898,0.12244898,0.12244898,0.12
118506.6122,967804,0.12244898,0.12244898,0.12244898,0.16
55815.67347,455828,0.12244898,0.12244898,0.12244898,0.2
31069.71429,253736,0.12244898,0.12244898,0.12244898,0.24
11101.71429,90664,0.12244898,0.12244898,0.12244898,0.28
3643.836735,29758,0.12244898,0.12244898,0.12244898,0.32
717.5510204,5860,0.12244898,0.12244898,0.12244898,0.36
93.06122449,760,0.12244898,0.12244898,0.12244898,0.4
5.87755102,48,0.12244898,0.12244898,0.12244898,0.44
1.469387755,12,0.12244898,0.12244898,0.12244898,0.48
0,0,1,0,0,0.52
0,0,1,0,0,0.56
0,0,1,0,0,0.6
0,0,1,0,0,0.64
0,0,1,0,0,0.68
0,0,1,0,0,0.72
0,0,1,0,0,0.76
0,0,1,0,0,0.8
0,0,1,0,0,0.84
0,0,1,0,0,0.88
0,0,1,0,0,0.92
0,0,1,0,0,0.96
0,0,1,0,0,1
,,,,,
1981443.429,13870104,0.142857143,0.142857143,0.142857143,0
2576713.714,18036996,0.142857143,0.142857143,0.142857143,0.04
2694868.286,18864078,0.142857143,0.142857143,0.142857143,0.08
